Order ID,Order Date,Ship Date,Customer ID,Customer Name,Customer Segment,Product ID,Product Name,Category,Region,State,City,Quantity,Unit Price,Discount (%),Sales Amount,Cost Price,Profit,Payment Mode,Delivery Status,Supplier Name,Supplier Email,Stock Left,Auto Reorder,Reorder Quantity
ORD1000,1/20/2024,1/24/2024,CUST910,Mark Diaz,Home Office,PROD7936,Pen,Office Supplies,East,Michigan,New Alexandra,4,2865,5,10887,8864.77,2022.23,Net Banking,Returned,Leonard Inc,ustewart@banks-gould.com,4,Yes,40
ORD1001,10/18/2024,10/24/2024,CUST562,Rebecca Brown,Corporate,PROD4971,Mouse,Electronics,East,Pennsylvania,Kristentown,3,1707,10,4608.9,3342.52,1266.38,UPI,Returned,"Armstrong, Chang and Foster",davidwoodard@robinson-duncan.net,45,No,0
ORD1002,12/22/2024,12/24/2024,CUST779,William Carrillo,Consumer,PROD3478,Cooking Oil,Grocery,East,Oklahoma,West Tiffanychester,1,4730,5,4493.5,4025.79,467.71,UPI,Delivered,"Johnson, Mitchell and Price",peter83@smith.com,14,No,0
ORD1003,9/13/2025,9/18/2025,CUST274,Amy Cannon,Home Office,PROD9033,Cooking Oil,Grocery,West,South Dakota,New Joan,7,352,0,2464,1845.94,618.06,Credit Card,Cancelled,Patrick-Griffin,fieldsmelissa@morales.com,42,No,0
ORD1004,11/20/2024,11/25/2024,CUST121,Thomas Griffin,Consumer,PROD6185,Mouse,Electronics,East,Virginia,Davismouth,2,4030,5,7657,6409.44,1247.56,Net Banking,Delivered,Fisher-Sellers,robert99@baxter.com,31,No,0
ORD1005,6/11/2025,6/15/2025,CUST548,Kevin Taylor,Corporate,PROD4176,Stapler,Office Supplies,North,Arizona,New Jamesbury,3,4972,5,14170.2,8684.15,5486.05,Net Banking,Delivered,Ross and Sons,sean99@gomez.com,36,No,0
ORD1006,2/23/2024,2/29/2024,CUST353,Veronica Chandler,Home Office,PROD4555,Sugar,Grocery,West,Michigan,Riveraview,3,3010,0,9030,7537.57,1492.43,Credit Card,Delivered,Stewart Ltd,mark74@ramsey.com,27,No,0
ORD1007,1/12/2025,1/19/2025,CUST425,Toni Mueller,Consumer,PROD7730,Dining Table,Furniture,South,Idaho,West Timothy,2,2328,15,3957.6,3317.79,639.81,Net Banking,Returned,Proctor and Sons,gonzaleslindsay@brown.com,48,No,0
ORD1008,11/15/2024,11/19/2024,CUST359,Vickie Shelton,Home Office,PROD4378,Headphones,Electronics,West,West Virginia,South Andrew,8,3023,5,22974.8,16655.38,6319.42,Net Banking,Pending,Flores Group,vanessaperez@hughes.com,37,No,0
ORD1009,3/3/2025,3/10/2025,CUST150,Frank Dawson,Corporate,PROD2687,Office Chair,Furniture,East,Mississippi,Juanmouth,7,270,10,1701,1208.54,492.46,Credit Card,Delivered,Jones-Aguirre,brenda97@fuller.com,31,No,0
ORD1010,4/15/2024,4/17/2024,CUST113,Colleen Anderson,Corporate,PROD7683,Sofa,Furniture,West,Rhode Island,Schneiderfort,8,1972,10,14198.4,12738.07,1460.33,Cash,Pending,Green-Stephens,jessica35@garcia.com,47,No,0
ORD1011,2/8/2024,2/9/2024,CUST605,Jody Robinson,Home Office,PROD9544,Study Table,Furniture,East,Wisconsin,Josephmouth,2,2170,10,3906,3493.07,412.93,Net Banking,Pending,King-Lee,umaldonado@morton.com,34,No,0
ORD1012,11/9/2025,11/16/2025,CUST802,Megan Simmons,Consumer,PROD7981,Headphones,Electronics,West,Massachusetts,Smithmouth,8,4887,15,33231.6,29499.6,3732,Net Banking,Pending,"Johnson, Dominguez and Herrera",wayneclark@brooks-marks.com,46,No,0
ORD1013,7/3/2025,7/9/2025,CUST309,George Wall,Home Office,PROD9490,Juice Pack,Grocery,South,New Hampshire,Kelseyborough,9,843,0,7587,6337.19,1249.81,Credit Card,Cancelled,Salinas LLC,spencehoward@jones.com,49,No,0
ORD1014,3/20/2024,3/22/2024,CUST402,Madison Reyes,Corporate,PROD2648,File Folder,Office Supplies,West,Nevada,West James,4,1650,5,6270,5223.46,1046.54,Credit Card,Delivered,Vincent-Gomez,janice38@french.com,35,No,0
ORD1015,5/31/2025,6/4/2025,CUST978,Tara Anderson,Corporate,PROD6448,Calculator,Office Supplies,East,Pennsylvania,Mariatown,9,2553,15,19530.45,13390.38,6140.07,Credit Card,Returned,"Pearson, Griffith and Acosta",amanda55@stevens.info,25,No,0
ORD1016,7/24/2024,7/28/2024,CUST165,Melanie Hickman,Home Office,PROD7971,Bookshelf,Furniture,South,Utah,Tonychester,5,4518,20,18072,15286.62,2785.38,Credit Card,Returned,"Hunter, Long and Baker",barajasrichard@martin-gomez.com,26,No,0
ORD1017,12/25/2023,1/1/2024,CUST984,Emily Ray,Consumer,PROD1182,Monitor,Electronics,South,Idaho,Michaelchester,2,666,15,1132.2,771.7,360.5,Credit Card,Pending,Crawford-Rice,benjamin73@howard.com,34,No,0
ORD1018,10/20/2025,10/22/2025,CUST394,Jesse Greer,Home Office,PROD8779,Cooking Oil,Grocery,West,Colorado,Rojasside,3,1040,0,3120,2058.58,1061.42,UPI,Returned,Lee Group,brucecourtney@pineda.com,6,Yes,33
ORD1019,2/3/2024,2/5/2024,CUST145,Catherine Harrington,Corporate,PROD8390,Calculator,Office Supplies,South,Arkansas,Gravesborough,3,3176,10,8575.2,6656.64,1918.56,Credit Card,Returned,Butler-Franklin,heidi55@ellis.com,25,No,0
ORD1020,4/22/2025,4/29/2025,CUST274,John Dean,Corporate,PROD5077,Pen,Office Supplies,South,Illinois,East Lauriechester,9,1678,10,13591.8,9971.32,3620.48,Cash,Delivered,"Fuller, Fernandez and Hale",nicole92@burke-todd.com,32,No,0
ORD1021,8/17/2024,8/19/2024,CUST693,William Berry,Home Office,PROD2768,Stapler,Office Supplies,East,Alaska,West Mirandachester,10,403,15,3425.5,3051.11,374.39,Net Banking,Cancelled,Vincent-Frost,mark19@williams-singh.com,30,No,0
ORD1022,6/22/2024,6/27/2024,CUST802,Margaret Lopez,Corporate,PROD7604,Bookshelf,Furniture,North,Mississippi,Reyesshire,2,3282,20,5251.2,3216.22,2034.98,UPI,Cancelled,Smith Group,chad64@bean-davis.com,13,No,0
ORD1023,10/28/2024,10/29/2024,CUST484,Chad Hull,Corporate,PROD2376,Laptop,Electronics,South,Vermont,East Michelleville,10,2104,20,16832,10682.51,6149.49,Cash,Pending,George LLC,nsalinas@parker.com,40,No,0
ORD1024,10/14/2024,10/21/2024,CUST595,Dana Gibson,Home Office,PROD2041,Snacks,Grocery,West,Mississippi,Jessicaburgh,5,3735,20,14940,9855.7,5084.3,Net Banking,Pending,"Mason, Graham and Dean",richard25@sanders.com,24,No,0
ORD1025,6/26/2024,7/2/2024,CUST852,Tonya Cook,Home Office,PROD9478,Office Chair,Furniture,South,Oklahoma,North Kathleen,5,1035,20,4140,2513.96,1626.04,UPI,Returned,"Guzman, Erickson and Smith",meyersralph@davidson-ponce.biz,30,No,0
